序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,603980,吉华集团,-9.953703880310059,7.78,7.31 亿,52.66 亿,52.66 亿,273.5102844238281,13.505023956298828,7427566,145430,108857914,1,6,化学制品
2,000892,欢瑞世纪,-9.944133758544922,8.06,16.87 亿,57.29 亿,79.07 亿,-169.27598571777344,28.452068328857422,9265776,150000,421803174,1,1,影视院线
3,002491,通鼎互联,-10.00971794128418,9.26,19.26 亿,108.94 亿,113.90 亿,-130.4815673828125,17.01373863220215,9572062,145457,247105800,1,7,通信设备
4,002957,科瑞技术,-10.0,28.35,11.16 亿,118.70 亿,119.07 亿,36.171714782714844,9.122174263000488,17241562,142754,58564381,1,0,自动化设
5,000070,特发信息,-10.0,17.55,37.66 亿,155.96 亿,158.01 亿,1482.068603515625,23.057579040527344,19201455,145227,908759208,1,6,通信设备
6,600545,卓郎智能,-10.060976028442383,2.95,4.26 亿,52.74 亿,52.74 亿,-16.560287475585938,7.847352981567383,44932340,102944,69398454,1,0,专用设备
7,600481,双良节能,-9.990663528442383,9.64,18.21 亿,180.63 亿,180.63 亿,-24.922109603881836,9.973370552062988,49877996,140626,12057116985,1,41,光伏设备
8,605287,德才股份,-10.005938529968262,60.62,8.00 亿,84.87 亿,84.87 亿,129.71920776367188,9.14830493927002,93319701,102111,613819934,1,0,装修装饰
9,603618,杭电股份,-9.987592697143555,14.51,17.75 亿,100.32 亿,100.32 亿,-34.29905700683594,17.10541343688965,97771659,142707,148630673,1,1,电网设备
10,002969,嘉美包装,-10.002994537353516,30.05,31.12 亿,327.63 亿,329.47 亿,631.0042114257812,9.149443626403809,215989904,142224,5387944383,1,1,包装印刷
11,002323,雅博股份,-9.923664093017578,2.36,4.82 亿,50.04 亿,50.05 亿,-62.23941421508789,9.067262649536133,259194670,093154,193393685,1,0,专业工程
12,002342,巨力索具,-9.970845222473145,15.44,3.69 亿,147.40 亿,148.22 亿,1004.84228515625,2.5027496814727783,2226212323,092500,1988106896,2,0,通用设备
