序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,300308,中际旭创,531.0,0.67,138.16,BK0029,通信设备,高端光通信收发模块的研发、生产及销售。,1
2,601899,紫金矿业,37.78,-4.96,129.22,BK0068,工业金属,金、铜、锌铅、锂等矿产资源勘查与开发，清洁能源业务。,1
3,300017,网宿科技,22.52,1.81,115.01,BK0086,IT服务,CDN及边缘计算、安全。,1
4,002131,利欧股份,8.96,-1.32,113.03,BK0017,通用设备,机械制造业务和数字营销业务。,1
5,300251,光线传媒,27.22,15.39,109.75,BK0089,影视院线,影视项目的投资、制作、发行。,1
6,300502,新易盛,366.11,0.1,109.45,BK0029,通信设备,高性能光模块的研发、生产和销售。,2
7,600589,大位科技,13.19,-4.83,103.67,BK0086,IT服务,互联网数据中心与算力服务。,2
8,300058,蓝色光标,19.0,-5.75,97.25,BK0064,文化传媒,全案推广服务、全案广告代理及元宇宙相关业务。,1
9,300394,天孚通信,311.58,-5.58,94.14,BK0029,通信设备,高速光器件的研发、规模量产和销售业务。,3
10,603986,兆易创新,308.7,1.8,93.35,BK0021,半导体,存储器、微控制器、传感器和模拟芯片的研发、技术支持和销售。,1
11,002837,英维克,113.14,3.37,91.52,BK0018,专用设备,提供精密温控节能解决方案和产品。,1
12,300750,宁德时代,365.34,-2.8,82.3,BK0096,电池,动力电池、储能电池的研发、生产、销售。,1
13,688256,寒武纪-U,1120.68,0.74,79.18,BK0021,半导体,应用于各类云服务器、边缘计算设备、终端设备中人工智能核心芯片的研发、设计和销售。,2
14,300274,阳光电源,149.16,-4.72,78.13,BK0094,光伏设备,太阳能、风能、储能、氢能、电动汽车及充电等新能源电源设备的研发、生产、销售和服务。,1
15,000021,深科技,32.29,10.02,76.83,BK0024,消费电子,存储半导体、高端制造、计量智能终端业务。,1
16,300182,捷成股份,8.0,-10.61,71.16,BK0089,影视院线,新媒体版权运营及发行。,2
17,002050,三花智控,53.48,1.54,69.77,BK0031,白色家电,制冷空调电器零部件业务和汽车零部件业务。,1
18,300418,昆仑万维,60.39,-4.16,67.62,BK0090,游戏,AGI与AIGC业务、海外信息分发与元宇宙业务、投资业务。,1
19,600111,北方稀土,54.74,-4.63,67.34,BK0070,小金属,生产经营稀土原料产品、稀土功能材料产品及部分稀土终端应用产品。,1
20,603993,洛阳钼业,21.98,-5.09,62.35,BK0068,工业金属,基本金属、稀有金属的采、选、冶等矿山采掘及加工业务和矿产贸易业务。,2
